Station,District,Elevation,2016,2017,2018,2019,2020,2021,2022
Lamahi,Dang,243,1010.9,1353.8,1190.6,873.3,1759.4,1670.5,1676.3
Lalmatiya,Dang,287,1322.3,1681.1,1253.3,522.5,1621.7,2177.6,1806.4
Gadhawa,Dang,231,1072.3,1496.9,1091.3,1235.8,1729.4,2340.2,2199.4
Mari,Pyuthan,545,NA,NA,NA,NA,NA,1557,1245
Bagasoti,Dang,NA,NA,NA,NA,NA,NA,2234.9,1831.7
Marin Khola At Kusumtar,Sindhuli,399,2661.1,NA,NA,NA,3493.6,NA,3859.2
Jomsom,Mustang,NA,262,NA,301.1,336.3,NA,NA,NA
Thakmarpha,Mustang,2655,368.1,390.4,385.9,363.8,528.9,697.2,456.7
Baglung,Baglung,964,2137.3,2011.6,NA,1023.7,2890.3,2922.4,2121.8
Tatopani Ratopani ,Myagdi,1161,1647.9,1574.8,1503.6,1511,2137.7,1972,1603.4
Ranipauwa Muktinath ,Mustang,3671,212,260.8,NA,NA,NA,NA,NA
Bahrabise,Sindhupalchok,NA,2613.2,NA,NA,NA,NA,NA,NA
Karkineta,Parbat,1642,2930.5,2070.9,2242.8,2197,3180.3,3186.8,2997.2
Kushma,Parbat,900,2381.7,2268.3,2114,2059,3670.7,3503.7,2454
Bobang,Baglung,1722,2179.9,2619.8,1727.8,1681.5,NA,3418.5,1946.7
Gurja Khani,Myagdi,2627,NA,NA,NA,NA,1263.2,NA,NA
Ghorepani,Myagdi,2987,2352.1,2575.3,2315.5,2581.1,2903.1,2738.4,2524.4
Tribeni,Parbat,713,1711,2465.1,1856.5,1705.7,NA,NA,1687.4
Darbang,Myagdi,1160,3049,2379.8,2127.6,2502.5,NA,NA,NA
Rangkhani,Baglung,1728,2452.8,999.8,1671.3,1350.7,2343.2,NA,1619.9
Samar Gaun,Mustang,3610,99.7,128.5,110.5,130,105,100.1,114
Dhakarjhong,Mustang,3200,180.6,239.3,NA,391.3,337.9,585.3,NA
Bega,Myagdi,1682,2447.1,1876.3,1820.3,1839.3,2602.1,2501.4,NA
Kuhun,Myagdi,1864,917.7,844.8,359.4,576.6,NA,514.7,1741.2
Muna,Myagdi,1970,2388.8,2670.1,2198,2175.9,NA,2872.5,2560.5
Baghara,Myagdi,2330,3307.5,2706.4,3083.3,2618.8,NA,2936.8,2840.3
Sirkon,Parbat,731,2129.1,1592.4,1792.5,1179.1,NA,2733.9,2752.2
Bhimgithhe,Baglung,1008,NA,NA,NA,NA,NA,1780.1,2338.7
Galkot,Baglung,1162,NA,NA,NA,NA,NA,2254.8,2609.9
Chhoser,Mustang,3886,251.8,269.4,NA,NA,224.3,262.1,NA
Dudh Koshi At Rabuwabazar,Khotang,460,1386.2,808,NA,1191.7,794,684.7,732.7
Saptakoshi At Chatara Old ,Sunsari,NA,NA,NA,1830,NA,2855.8,NA,3019
Ridi,Gulmi,494,1115.3,1038.8,1059.3,841.9,1901.2,1966.5,1493.7
Tansen,Palpa,1183,1580.9,1683.2,1363.1,1047.9,2265.5,2750.2,1980
